iter	Accuracy	MultiClass
824	0.9149036201	0.4369321177
825	0.9149036201	0.4367177055
826	0.9149036201	0.4364584137
827	0.9149036201	0.4361470971
828	0.9153737659	0.4357717036
829	0.9153737659	0.4354699139
830	0.9153737659	0.4352001483
831	0.9158439116	0.4349765822
832	0.9167842031	0.4347271043
833	0.9172543488	0.4343021538
834	0.9172543488	0.4339713243
835	0.9172543488	0.4336281271
836	0.9163140574	0.4333333104
837	0.9163140574	0.432923052
838	0.9163140574	0.4325465107
839	0.9172543488	0.4321110003
840	0.9172543488	0.4317891812
841	0.9172543488	0.4312891348
842	0.9177244946	0.4310517089
843	0.9186647861	0.4307285411
844	0.9186647861	0.4303379678
845	0.9181946403	0.4299788733
846	0.9191349318	0.4296753331
847	0.9191349318	0.4293195386
848	0.9196050776	0.4289877622
849	0.9205453691	0.428525106
850	0.9205453691	0.4282537621
851	0.9210155148	0.427958228
852	0.9210155148	0.4276250455
853	0.9210155148	0.4274188115
854	0.9205453691	0.4272075271
855	0.9205453691	0.426968236
856	0.9214856606	0.426565381
857	0.9214856606	0.4264154475
858	0.9219558063	0.4261530565
859	0.9210155148	0.4258097159
860	0.9214856606	0.4254746681
861	0.9214856606	0.4251417439
862	0.9214856606	0.4249825704
863	0.9210155148	0.4247959067
864	0.9210155148	0.4245533156
865	0.9200752233	0.4241495998
866	0.9205453691	0.4237993148
867	0.9228960978	0.4231585174
868	0.9214856606	0.4229035586
869	0.9228960978	0.4225186956
870	0.922425952	0.4223105104
871	0.922425952	0.4220161528
872	0.922425952	0.4218368638
873	0.922425952	0.4215214437
874	0.9228960978	0.4212666571
875	0.922425952	0.4210151705
876	0.9233662435	0.4206784871
877	0.9233662435	0.4204367282
878	0.9233662435	0.420195285
879	0.924306535	0.4198847144
